"","UC","PROVINCE","DISTRICT","TEHSIL","UC_C","Flood","Area","TOWN","U_R","PROVINCE_C","DISTRICT_C","TEHSIL_C","UC_NAME","Data_Sourc","Level","School","New_Name","Shape_Leng","Shape_Area","id","attr","fertility","elevation","poverty","distance_to_cities"
"1","1/10.L","Punjab","Sahiwal","Sahiwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.262759435245,0.0032943522655,"2154",0.56224015608747,18.4837173482646,164.404255319149,0.56224015608747,16.5957446808511
"2","1/SP WESAWEW","Punjab","Okara","Depalpur",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.245293801022,0.00377207426441,"773",0.752539122646505,10.3454044948925,171.454545454545,0.752539122646505,10.5
"3","10 ML","Punjab","Sargodha","Bhalwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.48932929261,0.00639579396982,"2491",0.534079270613821,10.0231516209055,190.115789473684,0.534079270613821,26.1473684210526
"4","10 NB","Punjab","Sargodha","Bhalwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.302188709559,0.00477479284425,"2490",0.542346691307814,15.6614645114843,188.376811594203,0.542346691307814,22.5217391304348
"5","10/11.L","Punjab","Sahiwal","Chichawatni",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.324275021871,0.00475923289697,"2186",0.436383745118753,21.1121520418109,157.044776119403,0.436383745118753,8.98507462686567
"6","100 SB","Punjab","Sargodha","Sargodha",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.256544730321,0.00352593182056,"2406",0.480511605143547,19.3904369899205,187.38,0.480511605143547,26.62
"7","100/15-L","Punjab","Khanewal","Mian Channu",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.308040839557,0.00501267488512,"807",0.567886337842027,11.4062925474984,138.108108108108,0.567886337842027,30.6575342465753
"8","100/WB (GARH","Punjab","Vehari","Mailsi",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.318001330758,0.00204729814774,"2673",0.541136915645292,11.9228368520737,126.41935483871,0.541136915645292,25.6774193548387
"9","104 NB","Punjab","Sargodha","Sargodha",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.229339955524,0.00321131810998,"2405",0.319356092747222,17.5019030769666,187.170212765957,0.319356092747222,10.2340425531915
"10","104 SB","Punjab","Sargodha","Sargodha",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.374241910738,0.00548235576334,"2404",0.407316046953201,15.2618386806586,181.4375,0.407316046953201,13.05
"11","106/10-R","Punjab","Khanewal","Jehanian",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.183096632706,0.00201569580191,"877",0.595845286188454,8.79623390066213,127.206896551724,0.595845286188454,20.2758620689655
"12","109 SB","Punjab","Sargodha","Sargodha",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.346067223467,0.00447475524335,"2403",0.27058190533093,12.0158366716825,185.761904761905,0.27058190533093,7.88888888888889
"13","109/12.L","Punjab","Sahiwal","Chichawatni",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.24864730869,0.00300653261651,"2185",0.39911172191302,11.7202372437432,158.244444444444,0.39911172191302,7.4
"14","109/EB","Punjab","Pakpattan","Arifwala",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.242790124953,0.00309800919837,"1757",0.548747121653658,15.2960643159582,152.31914893617,0.548747121653658,11.6595744680851
"15","11 M","Punjab","Lodhran","Dunyapur",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.253652609876,0.00347782081376,"557",0.669696953296661,7.44626737634341,119.84,0.669696953296661,7.74
"16","11 SB","Punjab","Sargodha","Bhalwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.365542587999,0.00537795613475,"2489",0.53282732908663,9.64119052267694,192.184210526316,0.53282732908663,11.8552631578947
