"","X","UC","PROVINCE","DISTRICT","TEHSIL","UC_C","Flood","Area","TOWN","U_R","PROVINCE_C","DISTRICT_C","TEHSIL_C","UC_NAME","Data_Sourc","Level","School","New_Name","Shape_Leng","Shape_Area","id","attr","fertility","elevation","poverty","distance_to_cities","Population"
"1",1,"1/10.L","Punjab","Sahiwal","Sahiwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",2,0,NA,0.262759435245,0.0032943522655,2154,0.56224015608747,18.4837173482646,164.404255319149,0.56224015608747,16.5957446808511,30596.5022423739
"2",2,"1/SP WESAWEW","Punjab","Okara","Depalpur",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",2,0,NA,0.245293801022,0.00377207426441,773,0.752539122646505,10.3454044948925,171.454545454545,0.752539122646505,10.5,12613.2555941928
"3",3,"10 ML","Punjab","Sargodha","Bhalwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",2,0,NA,0.48932929261,0.00639579396982,2491,0.534079270613821,10.0231516209055,190.115789473684,0.534079270613821,26.1473684210526,30910.8926333029
"4",4,"10 NB","Punjab","Sargodha","Bhalwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",2,0,NA,0.302188709559,0.00477479284425,2490,0.542346691307814,15.6614645114843,188.376811594203,0.542346691307814,22.5217391304348,41183.2800779398
"5",5,"10/11.L","Punjab","Sahiwal","Chichawatni",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",2,0,NA,0.324275021871,0.00475923289697,2186,0.436383745118753,21.1121520418109,157.044776119403,0.436383745118753,8.98507462686567,40779.9223387125
"6",6,"100 SB","Punjab","Sargodha","Sargodha",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.256544730321,0.00352593182056,2406,0.480511605143547,19.3904369899205,187.38,0.480511605143547,26.62,34834.9619969258
"7",7,"100/15-L","Punjab","Khanewal","Mian Channu",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.308040839557,0.00501267488512,807,0.567886337842027,11.4062925474984,138.108108108108,0.567886337842027,30.6575342465753,37031.7853559333
"8",8,"100/WB (GARH","Punjab","Vehari","Mailsi",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.318001330758,0.00204729814774,2673,0.541136915645292,11.9228368520737,126.41935483871,0.541136915645292,25.6774193548387,14082.1964002301
"9",9,"104 NB","Punjab","Sargodha","Sargodha",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.229339955524,0.00321131810998,2405,0.319356092747222,17.5019030769666,187.170212765957,0.319356092747222,10.2340425531915,47661.4605748694
"10",10,"104 SB","Punjab","Sargodha","Sargodha",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.374241910738,0.00548235576334,2404,0.407316046953201,15.2618386806586,181.4375,0.407316046953201,13.05,41889.5581808311
"11",11,"106/10-R","Punjab","Khanewal","Jehanian",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.183096632706,0.00201569580191,877,0.595845286188454,8.79623390066213,127.206896551724,0.595845286188454,20.2758620689655,9240.43290289847
